Time,Timestamp,28ffe2a76415148,28ffcabf64151aa,28ffb5b664152d9,28ffc3bf6415159
"4/30/2016, 10:29:56 PM",1462069796255,25.1875,25.8750,25.0,25.1875
"4/30/2016, 10:29:57 PM",1462069797343,25.1875,25.8750,25.0,25.1250
"4/30/2016, 10:29:58 PM",1462069798430,25.1875,25.8750,25.0,25.1250
"4/30/2016, 10:29:59 PM",1462069799516,25.1250,25.8750,25.0,25.1250
"4/30/2016, 10:30:00 PM",1462069800608,25.1875,25.8125,24.9375,25.1250
"4/30/2016, 10:30:01 PM",1462069801695,25.1875,25.8125,24.9375,25.1250
"4/30/2016, 10:30:02 PM",1462069802782,25.1250,25.8125,24.9375,25.1250
"4/30/2016, 10:30:03 PM",1462069803870,25.1250,25.8125,24.9375,25.1250
"4/30/2016, 10:30:04 PM",1462069804956,25.1250,25.8125,24.9375,25.1250
"4/30/2016, 10:30:06 PM",1462069806044,25.1250,25.8125,24.9375,25.1250
"4/30/2016, 10:30:07 PM",1462069807132,25.1250,25.8125,24.9375,25.625
"4/30/2016, 10:30:07 PM",1462069807132,25.1250,25.8125,24.9375,25.625
"4/30/2016, 10:30:08 PM",1462069808219,25.1250,25.8125,24.9375,25.625
"4/30/2016, 10:30:09 PM",1462069809307,25.1250,25.7500,24.9375,25.625
"4/30/2016, 10:30:10 PM",1462069810394,25.1250,25.7500,24.9375,25.625
"4/30/2016, 10:30:11 PM",1462069811484,25.1250,25.7500,24.9375,25.625
"4/30/2016, 10:30:12 PM",1462069812569,25.1250,25.7500,24.9375,25.625
"4/30/2016, 10:30:13 PM",1462069813657,25.1250,25.7500,24.8750,25.625
"4/30/2016, 10:30:14 PM",1462069814745,25.1250,25.7500,24.8750,25.625
"4/30/2016, 10:30:15 PM",1462069815833,25.1250,25.6875,24.8750,25.625
"4/30/2016, 10:30:16 PM",1462069816919,25.1250,25.6875,24.8750,25.0
"4/30/2016, 10:30:18 PM",1462069818008,25.1250,25.6875,24.8750,25.0
"4/30/2016, 10:30:19 PM",1462069819094,25.1250,25.6875,24.8750,25.0
"4/30/2016, 10:30:20 PM",1462069820182,25.625,25.6875,24.8750,25.0
"4/30/2016, 10:30:21 PM",1462069821270,25.625,25.6875,24.8750,25.0
"4/30/2016, 10:30:21 PM",1462069821270,25.625,25.6875,24.8750,25.0
"4/30/2016, 10:30:22 PM",1462069822356,25.625,25.6875,24.8750,25.0
"4/30/2016, 10:30:23 PM",1462069823445,25.625,25.6875,24.8750,24.9375
"4/30/2016, 10:30:24 PM",1462069824533,25.625,25.6250,24.8750,24.9375
"4/30/2016, 10:30:25 PM",1462069825621,25.625,25.6250,24.8125,24.9375
"4/30/2016, 10:30:26 PM",1462069826708,25.625,25.6250,24.8125,24.9375
"4/30/2016, 10:30:27 PM",1462069827795,25.625,25.6250,24.8125,24.9375
"4/30/2016, 10:30:28 PM",1462069828882,25.625,25.6250,24.8125,24.9375
"4/30/2016, 10:30:29 PM",1462069829969,25.625,25.6250,24.8125,24.9375
"4/30/2016, 10:30:31 PM",1462069831056,25.625,25.6250,24.8125,24.9375
"4/30/2016, 10:30:32 PM",1462069832145,25.625,25.6250,24.8125,24.8750
"4/30/2016, 10:30:33 PM",1462069833233,25.625,25.5625,24.8125,24.8750
"4/30/2016, 10:30:34 PM",1462069834320,25.625,25.5625,24.8125,24.8750
"4/30/2016, 10:30:35 PM",1462069835409,25.625,25.5625,24.8125,24.8750
"4/30/2016, 10:30:35 PM",1462069835409,25.625,25.5625,24.7500,24.8750
"4/30/2016, 10:30:36 PM",1462069836496,25.625,25.5625,24.7500,24.8750
"4/30/2016, 10:30:37 PM",1462069837583,25.625,25.5625,24.7500,24.8750
"4/30/2016, 10:30:38 PM",1462069838670,25.625,25.5625,24.7500,24.8750
"4/30/2016, 10:30:39 PM",1462069839758,25.625,25.5625,24.7500,24.8750
"4/30/2016, 10:30:40 PM",1462069840844,25.625,25.5625,24.7500,24.8750
"4/30/2016, 10:30:41 PM",1462069841933,25.625,25.5000,24.7500,24.8125
"4/30/2016, 10:30:43 PM",1462069843023,25.625,25.5000,24.7500,24.8125
"4/30/2016, 10:30:44 PM",1462069844108,25.0,25.5000,24.7500,24.8125
"4/30/2016, 10:30:45 PM",1462069845196,25.625,25.5000,24.7500,24.8125
"4/30/2016, 10:30:46 PM",1462069846287,25.0,25.5000,24.6875,24.8125
"4/30/2016, 10:30:47 PM",1462069847372,25.0,25.5000,24.7500,24.8125
"4/30/2016, 10:30:48 PM",1462069848462,25.0,25.5000,24.6875,24.8125
"4/30/2016, 10:30:48 PM",1462069848462,25.0,25.5000,24.6875,24.8125
"4/30/2016, 10:30:49 PM",1462069849553,25.0,25.5000,24.6875,24.8125
"4/30/2016, 10:30:50 PM",1462069850638,25.0,25.4375,24.6875,24.8125
"4/30/2016, 10:30:51 PM",1462069851727,25.0,25.4375,24.6875,24.8125
"4/30/2016, 10:30:52 PM",1462069852813,25.0,25.4375,24.6875,24.7500
"4/30/2016, 10:30:53 PM",1462069853899,25.0,25.4375,24.6875,24.7500
"4/30/2016, 10:30:54 PM",1462069854987,25.0,25.4375,24.6875,24.7500
"4/30/2016, 10:30:56 PM",1462069856073,25.0,25.4375,24.6875,24.7500
"4/30/2016, 10:30:57 PM",1462069857158,25.0,25.4375,24.6875,24.7500
"4/30/2016, 10:30:58 PM",1462069858247,25.0,25.4375,24.6875,24.7500
"4/30/2016, 10:30:59 PM",1462069859333,25.0,25.4375,24.6875,24.7500
"4/30/2016, 10:31:00 PM",1462069860422,25.0,25.3750,24.6875,24.7500
"4/30/2016, 10:31:01 PM",1462069861509,25.0,25.3750,24.6250,24.7500
"4/30/2016, 10:31:02 PM",1462069862598,25.0,25.4375,24.6250,24.7500
"4/30/2016, 10:31:02 PM",1462069862598,25.0,25.4375,24.6250,24.7500
"4/30/2016, 10:31:03 PM",1462069863689,25.0,25.3750,24.6250,24.6875
"4/30/2016, 10:31:04 PM",1462069864774,25.0,25.3750,24.6250,24.6875
"4/30/2016, 10:31:05 PM",1462069865862,25.0,25.3750,24.6250,24.6875
"4/30/2016, 10:31:06 PM",1462069866949,25.0,25.3750,24.6250,24.6875
"4/30/2016, 10:31:08 PM",1462069868037,25.0,25.3750,24.6250,24.6875
"4/30/2016, 10:31:09 PM",1462069869123,25.0,25.3750,24.6250,24.6875
"4/30/2016, 10:31:10 PM",1462069870212,25.0,25.3125,24.6250,24.6875
"4/30/2016, 10:31:11 PM",1462069871298,25.0,25.3125,24.6250,24.6875
"4/30/2016, 10:31:12 PM",1462069872383,25.0,25.3125,24.6250,24.6250
"4/30/2016, 10:31:13 PM",1462069873471,25.0,25.3125,24.5625,24.6250
"4/30/2016, 10:31:14 PM",1462069874560,24.9375,25.3125,24.5625,24.6250
"4/30/2016, 10:31:15 PM",1462069875648,25.0,25.3125,24.5625,24.6250
"4/30/2016, 10:31:16 PM",1462069876736,24.9375,25.3125,24.5625,24.6250
"4/30/2016, 10:31:16 PM",1462069876736,24.9375,25.3125,24.5625,24.6250
"4/30/2016, 10:31:17 PM",1462069877824,24.9375,25.3125,24.5625,24.6250
"4/30/2016, 10:31:18 PM",1462069878910,24.9375,25.3125,24.5625,24.6250
"4/30/2016, 10:31:19 PM",1462069879996,24.9375,25.3125,24.5625,24.6250
"4/30/2016, 10:31:21 PM",1462069881086,24.9375,25.2500,24.5625,24.6250
"4/30/2016, 10:31:22 PM",1462069882173,24.9375,25.2500,24.5625,24.6250
"4/30/2016, 10:31:23 PM",1462069883260,24.9375,25.2500,24.5625,24.6250
"4/30/2016, 10:31:24 PM",1462069884349,24.9375,25.2500,24.5625,24.6250
"4/30/2016, 10:31:25 PM",1462069885430,24.9375,25.2500,24.5625,24.5625
"4/30/2016, 10:31:26 PM",1462069886518,24.9375,25.2500,24.5625,24.5625
"4/30/2016, 10:31:27 PM",1462069887601,24.9375,25.2500,24.5625,24.5625
"4/30/2016, 10:31:28 PM",1462069888686,24.9375,25.2500,24.5625,24.5625
"4/30/2016, 10:31:29 PM",1462069889776,24.9375,25.2500,24.5000,24.5625
"4/30/2016, 10:31:30 PM",1462069890861,24.9375,25.2500,24.5000,24.5625
"4/30/2016, 10:31:30 PM",1462069890861,24.9375,25.2500,24.5000,24.5625
"4/30/2016, 10:31:31 PM",1462069891949,24.9375,25.2500,24.5000,24.5625
"4/30/2016, 10:31:33 PM",1462069893037,24.9375,25.1875,24.5000,24.5625
"4/30/2016, 10:31:34 PM",1462069894125,24.9375,25.1875,24.5000,24.5625
"4/30/2016, 10:31:35 PM",1462069895211,24.9375,25.1875,24.5000,24.5625
"4/30/2016, 10:31:36 PM",1462069896298,24.9375,25.1875,24.5000,24.5625
"4/30/2016, 10:31:37 PM",1462069897386,24.9375,25.1875,24.5000,24.5625
"4/30/2016, 10:31:38 PM",1462069898473,24.9375,25.1875,24.5000,24.5625
"4/30/2016, 10:31:39 PM",1462069899557,24.9375,25.1875,24.5000,24.5000
"4/30/2016, 10:31:40 PM",1462069900642,24.9375,25.1875,24.5000,24.5000
"4/30/2016, 10:31:41 PM",1462069901729,24.9375,25.1875,24.5000,24.5000
"4/30/2016, 10:31:42 PM",1462069902811,24.9375,25.1875,24.5000,24.5000
"4/30/2016, 10:31:43 PM",1462069903897,24.9375,25.1250,24.5000,24.5000
"4/30/2016, 10:31:43 PM",1462069903897,24.9375,25.1250,24.5000,24.5000
"4/30/2016, 10:31:44 PM",1462069904981,24.8750,25.1250,24.5000,24.5000
"4/30/2016, 10:31:46 PM",1462069906069,24.8750,25.1250,24.4375,24.5000
"4/30/2016, 10:31:47 PM",1462069907156,24.8750,25.1250,24.5000,24.5000
"4/30/2016, 10:31:48 PM",1462069908244,24.8750,25.1250,24.4375,24.5000
"4/30/2016, 10:31:49 PM",1462069909329,24.8750,25.1250,24.4375,24.4375
"4/30/2016, 10:31:50 PM",1462069910414,24.8750,25.1250,24.4375,24.4375
"4/30/2016, 10:31:51 PM",1462069911499,24.8750,25.1250,24.4375,24.4375
"4/30/2016, 10:31:52 PM",1462069912582,24.8750,25.1250,24.4375,24.4375
"4/30/2016, 10:31:53 PM",1462069913667,24.8750,25.1250,24.4375,24.4375
"4/30/2016, 10:31:54 PM",1462069914755,24.8750,25.1250,24.4375,24.4375
"4/30/2016, 10:31:55 PM",1462069915834,24.8750,25.1250,24.4375,24.4375
"4/30/2016, 10:31:56 PM",1462069916922,24.8750,25.625,24.4375,24.4375
"4/30/2016, 10:31:58 PM",1462069918007,24.8750,25.625,24.4375,24.4375
"4/30/2016, 10:31:58 PM",1462069918007,24.8750,25.625,24.4375,24.4375
"4/30/2016, 10:31:59 PM",1462069919096,24.8750,25.625,24.4375,24.4375
"4/30/2016, 10:32:00 PM",1462069920173,24.8750,25.625,24.4375,24.4375
"4/30/2016, 10:32:01 PM",1462069921258,24.8750,25.625,24.4375,24.4375
"4/30/2016, 10:32:02 PM",1462069922348,24.8750,25.625,24.4375,24.3750
"4/30/2016, 10:32:03 PM",1462069923435,24.8750,25.625,24.4375,24.3750
"4/30/2016, 10:32:04 PM",1462069924523,24.8750,25.625,24.4375,24.3750
"4/30/2016, 10:32:05 PM",1462069925607,24.8750,25.625,24.4375,24.3750
"4/30/2016, 10:32:06 PM",1462069926696,24.8750,25.625,24.4375,24.3750
"4/30/2016, 10:32:07 PM",1462069927781,24.8750,25.625,24.3750,24.3750
"4/30/2016, 10:32:08 PM",1462069928866,24.8750,25.625,24.3750,24.3750
"4/30/2016, 10:32:09 PM",1462069929950,24.8750,25.625,24.3750,24.3750
"4/30/2016, 10:32:11 PM",1462069931036,24.8750,25.0,24.3750,24.3750
"4/30/2016, 10:32:12 PM",1462069932123,24.8750,25.625,24.3750,24.3750
"4/30/2016, 10:32:12 PM",1462069932123,24.8750,25.625,24.3750,24.3750
"4/30/2016, 10:32:13 PM",1462069933210,24.8750,25.625,24.3750,24.3750
"4/30/2016, 10:32:14 PM",1462069934292,24.8750,25.0,24.3750,24.3750
"4/30/2016, 10:32:15 PM",1462069935376,24.8750,25.0,24.3750,24.3750
"4/30/2016, 10:32:16 PM",1462069936464,24.8750,25.0,24.3750,24.3125
"4/30/2016, 10:32:17 PM",1462069937550,24.8750,25.0,24.3750,24.3125
"4/30/2016, 10:32:18 PM",1462069938638,24.8750,25.0,24.3750,24.3125
"4/30/2016, 10:32:19 PM",1462069939722,24.8750,25.0,24.3750,24.3125
"4/30/2016, 10:32:20 PM",1462069940812,24.8750,25.0,24.3750,24.3125
"4/30/2016, 10:32:21 PM",1462069941899,24.8125,25.0,24.3750,24.3125
"4/30/2016, 10:32:22 PM",1462069942987,24.8750,25.0,24.3750,24.3125
"4/30/2016, 10:32:24 PM",1462069944078,24.8125,24.9375,24.3750,24.3125
"4/30/2016, 10:32:25 PM",1462069945164,24.8125,24.9375,24.3750,24.3125
"4/30/2016, 10:32:26 PM",1462069946250,24.8125,24.9375,24.3750,24.3125
"4/30/2016, 10:32:26 PM",1462069946250,24.8125,24.9375,24.3750,24.3125
"4/30/2016, 10:32:27 PM",1462069947339,24.8125,24.9375,24.3750,24.3125
"4/30/2016, 10:32:28 PM",1462069948424,24.8125,24.9375,24.3125,24.3125
"4/30/2016, 10:32:29 PM",1462069949512,24.8125,24.9375,24.3750,24.3125
"4/30/2016, 10:32:30 PM",1462069950600,24.8125,24.9375,24.3125,24.2500
"4/30/2016, 10:32:31 PM",1462069951688,24.8125,24.9375,24.3750,24.2500
"4/30/2016, 10:32:32 PM",1462069952777,24.8125,24.9375,24.3125,24.2500
"4/30/2016, 10:32:33 PM",1462069953865,24.8125,24.9375,24.3125,24.2500
"4/30/2016, 10:32:34 PM",1462069954950,24.8125,24.9375,24.3125,24.2500
"4/30/2016, 10:32:36 PM",1462069956039,24.8125,24.9375,24.3125,24.2500
"4/30/2016, 10:32:37 PM",1462069957126,24.8125,24.9375,24.3125,24.2500
"4/30/2016, 10:32:38 PM",1462069958214,24.8125,24.9375,24.3125,24.2500
"4/30/2016, 10:32:39 PM",1462069959301,24.8125,24.9375,24.3125,24.2500
"4/30/2016, 10:32:40 PM",1462069960389,24.8125,24.8750,24.3125,24.2500
"4/30/2016, 10:32:41 PM",1462069961476,24.8125,24.8750,24.3125,24.2500
"4/30/2016, 10:32:41 PM",1462069961476,24.8125,24.8750,24.3125,24.2500
"4/30/2016, 10:32:42 PM",1462069962565,24.8125,24.8750,24.3125,24.1875
"4/30/2016, 10:32:43 PM",1462069963652,24.8125,24.8750,24.3125,24.1875
"4/30/2016, 10:32:44 PM",1462069964741,24.8125,24.8750,24.3125,24.1875
"4/30/2016, 10:32:45 PM",1462069965824,24.8125,24.8750,24.3125,24.1875
"4/30/2016, 10:32:46 PM",1462069966914,24.8125,24.8750,24.3125,24.1875
"4/30/2016, 10:32:48 PM",1462069968001,24.8125,24.8750,24.3125,24.1875
"4/30/2016, 10:32:49 PM",1462069969106,24.8125,24.8750,24.3125,24.1875
"4/30/2016, 10:32:50 PM",1462069970175,24.8125,24.8750,24.3125,24.1875
"4/30/2016, 10:32:51 PM",1462069971262,24.8125,24.8750,24.3125,24.1875
"4/30/2016, 10:32:52 PM",1462069972350,24.8125,24.8750,24.2500,24.1875
"4/30/2016, 10:32:53 PM",1462069973439,24.8125,24.8750,24.3125,24.1875
"4/30/2016, 10:32:54 PM",1462069974529,24.8125,24.8750,24.2500,24.1875
"4/30/2016, 10:32:54 PM",1462069974529,24.8125,24.8750,24.2500,24.1875
"4/30/2016, 10:32:55 PM",1462069975613,24.8125,24.8125,24.2500,24.1875
"4/30/2016, 10:32:56 PM",1462069976698,24.8125,24.8125,24.2500,24.1875
"4/30/2016, 10:32:57 PM",1462069977783,24.8125,24.8125,24.2500,24.1875
"4/30/2016, 10:32:58 PM",1462069978871,24.7500,24.8125,24.2500,24.1875
"4/30/2016, 10:32:59 PM",1462069979956,24.7500,24.8125,24.2500,24.1250
"4/30/2016, 10:33:01 PM",1462069981044,24.8125,24.8125,24.2500,24.1250
"4/30/2016, 10:33:02 PM",1462069982131,24.7500,24.8125,24.2500,24.1250
"4/30/2016, 10:33:03 PM",1462069983215,24.8125,24.8125,24.2500,24.1250
"4/30/2016, 10:33:04 PM",1462069984304,24.7500,24.8125,24.2500,24.1250
"4/30/2016, 10:33:05 PM",1462069985391,24.7500,24.8125,24.2500,24.1250
"4/30/2016, 10:33:06 PM",1462069986478,24.7500,24.8125,24.2500,24.1250
"4/30/2016, 10:33:07 PM",1462069987567,24.7500,24.8125,24.2500,24.1250
"4/30/2016, 10:33:08 PM",1462069988652,24.7500,24.8125,24.2500,24.1250
"4/30/2016, 10:33:09 PM",1462069989740,24.7500,24.8125,24.2500,24.1250
